Ontology	ID	Desc	BinomRank	BinomP	BinomBonfP	BinomFdrQ	RegionFoldEnrich	ExpRegions	ObsRegions	GenomeFrac	SetCov	HyperRank	HyperP	HyperBonfP	HyperFdrQ	GeneFoldEnrich	ExpGenes	ObsGenes	TotalGenes	GeneSetCov	TermCov	Ontology2	group
GO Biological Process	GO:0002709	regulation of T cell mediated immunity	127	5.950295e-12	6.212108e-08	4.891424e-10	3.236591	14.83042	48	0.003838101	0.01242236	276	0.00148804	1	0.05628673	2.795399	3.935037	11	51	0.007902299	0.2156863	GO Biological Process	IFNG
GO Biological Process	GO:1900151	regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	128	6.131579e-12	6.401368e-08	5.001069e-10	5.159677	5.426696	28	0.001404425	0.007246377	464	0.007495199	1	0.168642	4.712905	0.8487334	4	11	0.002873563	0.3636364	GO Biological Process	IFNG
GO Biological Process	GO:0034121	regulation of toll-like receptor signaling pathway	129	6.870828e-12	7.173144e-08	5.560577e-10	4.039277	8.912486	36	0.002306544	0.00931677	234	0.0008445237	1	0.03767875	3.430718	2.623358	9	34	0.006465517	0.2647059	GO Biological Process	IFNG
GO Biological Process	GO:0002251	organ or tissue specific immune response	131	7.032758e-12	7.342199e-08	5.604732e-10	7.670001	2.607562	20	0.0006748348	0.005175983	464	0.007495199	1	0.168642	4.712905	0.8487334	4	11	0.002873563	0.3636364	GO Biological Process	IFNG
GO Biological Process	GO:0002384	hepatic immune response	132	7.092589e-12	7.404663e-08	5.609593e-10	18.3022	0.6556587	12	0.0001696839	0.00310559	425	0.005949346	1	0.1461439	12.96049	0.1543152	2	2	0.001436782	1	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_ACTIVATED_TLR4_SIGNALLING	Genes involved in Activated TLR4 signalling	36	7.239164e-12	9.555696e-09	2.65436e-10	2.313788	36.3041	84	0.009395471	0.02173913	39	0.001690433	1	0.05721466	2.253998	7.098498	16	92	0.01149425	0.173913	MSigDB Pathway	IFNG
GO Biological Process	GO:0032675	regulation of interleukin-6 production	133	7.2732e-12	7.593221e-08	5.709189e-10	2.583773	26.3181	68	0.006811102	0.01759834	414	0.005733691	1	0.1445887	2.188134	5.941134	13	77	0.00933908	0.1688312	GO Biological Process	IFNG
GO Biological Process	GO:0019369	arachidonic acid metabolic process	134	7.791982e-12	8.134829e-08	6.070768e-10	3.420545	12.86345	44	0.003329049	0.01138716	879	0.04902499	1	0.5822763	1.9563	4.089352	8	53	0.005747126	0.1509434	GO Biological Process	IFNG
GO Biological Process	GO:0002274	myeloid leukocyte activation	135	8.110585e-12	8.467451e-08	6.272186e-10	2.427481	31.30818	76	0.00810253	0.01966874	414	0.005733691	1	0.1445887	2.188134	5.941134	13	77	0.00933908	0.1688312	GO Biological Process	IFNG
GO Biological Process	GO:0032020	ISG15-protein conjugation	136	9.128116e-12	9.529753e-08	7.007171e-10	7.556713	2.646653	20	0.0006849517	0.005175983	84	1.525451e-05	0.1592571	0.001895918	10.80041	0.4629455	5	6	0.003591954	0.8333333	GO Biological Process	IFNG
GO Biological Process	GO:0042742	defense response to bacterium	137	1.033111e-11	1.078568e-07	7.872758e-10	2.296965	36.57	84	0.009464286	0.02173913	2253	0.1911364	1	0.885692	1.272195	12.57669	16	163	0.01149425	0.09815951	GO Biological Process	IFNG
GO Biological Process	GO:0001773	myeloid dendritic cell activation	138	1.133732e-11	1.183616e-07	8.576929e-10	4.405985	7.262849	32	0.001879619	0.008281573	510	0.009945457	1	0.2035894	3.600136	1.388837	5	18	0.003591954	0.2777778	GO Biological Process	IFNG
GO Biological Process	GO:2001185	regulation of CD8-positive, alpha-beta T cell activation	139	1.370711e-11	1.431022e-07	1.029512e-09	17.27276	0.6947356	12	0.000179797	0.00310559	896	0.05084354	1	0.592418	5.184195	0.3857879	2	5	0.001436782	0.4	GO Biological Process	IFNG
GO Biological Process	GO:0032680	regulation of tumor necrosis factor production	140	1.371217e-11	1.431551e-07	1.022536e-09	2.633378	24.30338	64	0.006289696	0.01656315	528	0.01069628	1	0.2114946	2.101701	5.709661	12	74	0.00862069	0.1621622	GO Biological Process	IFNG
GO Biological Process	GO:0071229	cellular response to acid	141	1.447536e-11	1.511228e-07	1.071793e-09	2.730731	21.97213	60	0.00568637	0.01552795	537	0.01166075	1	0.2267006	2.380498	3.780722	9	49	0.006465517	0.1836735	GO Biological Process	IFNG
GO Biological Process	GO:0097286	iron ion import	142	1.471171e-11	1.535903e-07	1.081621e-09	47.08408	0.1699088	8	4.397226e-05	0.002070393	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
GO Biological Process	GO:0071219	cellular response to molecule of bacterial origin	144	1.692954e-11	1.767444e-07	1.227392e-09	2.17978	42.2061	92	0.0109229	0.02380952	103	3.278509e-05	0.3422763	0.003323071	2.64243	7.947231	21	103	0.01508621	0.2038835	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_ACTIVATION_OF_IRF3_IRF7_MEDIATED_BY_TBK1_IKK_EPSILON	Genes involved in Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon	37	1.706937e-11	2.253157e-08	6.089613e-10	5.824935	4.120217	24	0.001066309	0.00621118	109	0.01434128	1	0.1736742	3.987843	1.003049	4	13	0.002873563	0.3076923	MSigDB Pathway	IFNG
MSigDB Pathway	BIOCARTA_DREAM_PATHWAY	Repression of Pain Sensation by the Transcriptional Regulator DREAM	38	1.756676e-11	2.318812e-08	6.102138e-10	4.925986	5.684142	28	0.001471051	0.007246377	8	3.391545e-05	0.04476839	0.005596049	6.480244	1.080206	7	14	0.005028736	0.5	MSigDB Pathway	IFNG
MSigDB Pathway	REACTOME_SIGNALING_BY_SCF_KIT	Genes involved in Signaling by SCF-KIT	39	2.062505e-11	2.722507e-08	6.980786e-10	2.445149	29.44606	72	0.007620616	0.01863354	42	0.001836092	1	0.05770575	2.387458	5.863976	14	76	0.01005747	0.1842105	MSigDB Pathway	IFNG
GO Biological Process	GO:0035458	cellular response to interferon-beta	146	2.393424e-11	2.498735e-07	1.711462e-09	9.847337	1.624805	16	0.0004204981	0.004140787	639	0.01911496	1	0.3123008	4.860183	0.6172607	3	8	0.002155172	0.375	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	Genes involved in activated TAK1 mediates p38 MAPK activation	40	2.506115e-11	3.308072e-08	8.270179e-10	4.2681	7.497482	32	0.001940342	0.008281573	80	0.007661678	1	0.1264177	3.811908	1.311679	5	17	0.003591954	0.2941176	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	Toll-like receptor signaling pathway	41	2.527213e-11	3.335921e-08	8.136393e-10	2.433745	29.58404	72	0.007656326	0.01863354	145	0.02667839	1	0.2428653	1.76162	7.947231	14	103	0.01005747	0.1359223	MSigDB Pathway	IFNG
GO Biological Process	GO:0001300	chronological cell aging	150	2.681381e-11	2.799362e-07	1.866241e-09	43.61518	0.1834224	8	4.746956e-05	0.002070393	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
MSigDB Pathway	PID_TCRCALCIUMPATHWAY	Calcium signaling in the CD4+ TCR pathway	42	3.150681e-11	4.158899e-08	9.90214e-10	3.51156	11.39095	40	0.002947968	0.01035197	67	0.005532538	1	0.1089993	3.128394	2.23757	7	29	0.005028736	0.2413793	MSigDB Pathway	IFNG
GO Biological Process	GO:0060759	regulation of response to cytokine stimulus	152	3.294483e-11	3.43944e-07	2.26279e-09	2.294944	34.85923	80	0.009021541	0.02070393	229	0.0007814885	1	0.03562769	2.343918	7.252813	17	94	0.01221264	0.1808511	GO Biological Process	IFNG
GO Biological Process	GO:0032755	positive regulation of interleukin-6 production	153	3.403406e-11	3.553156e-07	2.322324e-09	3.071648	15.62679	48	0.0040442	0.01242236	281	0.001623845	1	0.06033075	3.152551	2.854831	9	37	0.006465517	0.2432432	GO Biological Process	IFNG
MSigDB Pathway	PID_HIVNEFPATHWAY	HIV-1 Nef: Negative effector of Fas and TNF-alpha	43	3.685674e-11	4.86509e-08	1.131416e-09	3.797303	9.480413	36	0.002453523	0.00931677	29	0.0008445237	1	0.03844039	3.430718	2.623358	9	34	0.006465517	0.2647059	MSigDB Pathway	IFNG
GO Biological Process	GO:0050792	regulation of viral process	154	3.724002e-11	3.887858e-07	2.524583e-09	2.412037	29.85029	72	0.007725231	0.01863354	818	0.03788378	1	0.4835045	1.64752	9.104595	15	118	0.01077586	0.1271186	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_IL22BP_PATHWAY	IL22 Soluble Receptor Signaling Pathway	44	3.909514e-11	5.160558e-08	1.172854e-09	6.950668	2.877421	20	0.0007446742	0.005175983	326	0.1208923	1	0.4895026	2.430092	1.234521	3	16	0.002155172	0.1875	MSigDB Pathway	IFNG
GO Biological Process	GO:0051023	regulation of immunoglobulin secretion	155	4.270441e-11	4.45834e-07	2.876349e-09	6.915248	2.89216	20	0.0007484885	0.005175983	523	0.01056425	1	0.210881	4.320163	0.925891	4	12	0.002873563	0.3333333	GO Biological Process	IFNG
MSigDB Pathway	PID_IL23PATHWAY	IL23-mediated signaling events	45	4.374503e-11	5.774344e-08	1.283188e-09	3.472053	11.52056	40	0.002981512	0.01035197	129	0.02131856	1	0.2181434	2.451984	2.854831	7	37	0.005028736	0.1891892	MSigDB Pathway	IFNG
GO Biological Process	GO:0034146	toll-like receptor 5 signaling pathway	156	4.704856e-11	4.91187e-07	3.148634e-09	2.398977	30.01279	72	0.007767285	0.01863354	183	0.0003610809	1	0.02059937	2.79149	5.015243	14	65	0.01005747	0.2153846	GO Biological Process	IFNG
GO Biological Process	GO:0034166	toll-like receptor 10 signaling pathway	156	4.704856e-11	4.91187e-07	3.148634e-09	2.398977	30.01279	72	0.007767285	0.01863354	183	0.0003610809	1	0.02059937	2.79149	5.015243	14	65	0.01005747	0.2153846	GO Biological Process	IFNG
GO Biological Process	GO:1902373	negative regulation of mRNA catabolic process	159	5.40941e-11	5.647424e-07	3.551839e-09	15.30058	0.7842841	12	0.0002029721	0.00310559	425	0.005949346	1	0.1461439	12.96049	0.1543152	2	2	0.001436782	1	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_IL1_SIGNALING	Genes involved in Interleukin-1 signaling	46	5.855821e-11	7.729684e-08	1.680366e-09	3.021298	15.88721	48	0.004111597	0.01242236	26	0.000719581	0.9498469	0.03653257	3.240122	3.086303	10	40	0.007183908	0.25	MSigDB Pathway	IFNG
GO Biological Process	GO:0042730	fibrinolysis	160	6.105873e-11	6.374531e-07	3.984082e-09	6.773384	2.952734	20	0.000764165	0.005175983	2094	0.1575337	1	0.7854116	2.160081	1.388837	3	18	0.002155172	0.1666667	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_DEATH_PATHWAY	Induction of apoptosis through DR3 and DR4/5 Death Receptors	47	6.280641e-11	8.290446e-08	1.763925e-09	4.112275	7.78158	32	0.002013866	0.008281573	89	0.009744847	1	0.1445303	2.835107	2.469043	7	32	0.005028736	0.21875	MSigDB Pathway	IFNG
GO Biological Process	GO:0060416	response to growth hormone stimulus	161	6.294028e-11	6.570965e-07	4.081345e-09	2.863036	18.16254	52	0.00470045	0.01345756	157	0.0001703354	1	0.01132676	3.811908	2.623358	10	34	0.007183908	0.2941176	GO Biological Process	IFNG
GO Biological Process	GO:0034142	toll-like receptor 4 signaling pathway	164	8.137038e-11	8.495068e-07	5.179919e-09	2.199974	38.18228	84	0.009881541	0.02173913	260	0.001266737	1	0.05086436	2.248248	7.561443	17	98	0.01221264	0.1734694	GO Biological Process	IFNG
GO Biological Process	GO:0061014	positive regulation of mRNA catabolic process	165	8.48343e-11	8.856701e-07	5.367698e-09	4.59149	6.098239	28	0.001578219	0.007246377	635	0.01887338	1	0.3102962	3.702997	1.080206	4	14	0.002873563	0.2857143	GO Biological Process	IFNG
GO Biological Process	GO:0006474	N-terminal protein amino acid acetylation	166	8.716708e-11	9.100243e-07	5.482074e-09	9.002843	1.777216	16	0.0004599421	0.004140787	2007	0.1492194	1	0.7762085	2.880109	0.6944183	2	9	0.001436782	0.2222222	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_THE_NLRP3_INFLAMMASOME	Genes involved in The NLRP3 inflammasome	48	9.498707e-11	1.253829e-07	2.612144e-09	6.601427	3.029648	20	0.0007840703	0.005175983	30	0.0008451605	1	0.03718706	5.891131	0.8487334	5	11	0.003591954	0.4545455	MSigDB Pathway	IFNG
GO Biological Process	GO:0032642	regulation of chemokine production	167	9.556175e-11	9.976647e-07	5.97404e-09	2.828485	18.3844	52	0.004757867	0.01345756	223	0.0006941452	1	0.0324972	2.880109	4.16651	12	54	0.00862069	0.2222222	GO Biological Process	IFNG
GO Biological Process	GO:0002889	regulation of immunoglobulin mediated immune response	168	1.240392e-10	1.294969e-06	7.70815e-09	3.628645	9.921059	36	0.002567562	0.00931677	405	0.005299178	1	0.136601	2.880109	2.777673	8	36	0.005747126	0.2222222	GO Biological Process	IFNG
GO Biological Process	GO:0002712	regulation of B cell mediated immunity	169	1.416851e-10	1.479192e-06	8.752618e-09	3.610462	9.971023	36	0.002580492	0.00931677	446	0.006313063	1	0.1477766	2.802268	2.854831	8	37	0.005747126	0.2162162	GO Biological Process	IFNG
MSigDB Pathway	REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE	Genes involved in NFkB and MAP kinases activation mediated by TLR4 signaling repertoire	49	1.418043e-10	1.871817e-07	3.820034e-09	2.33766	30.80003	72	0.007971023	0.01863354	28	0.0007963946	1	0.03754432	2.592098	5.401031	14	70	0.01005747	0.2	MSigDB Pathway	IFNG
GO Biological Process	GO:0002637	regulation of immunoglobulin production	170	1.504266e-10	1.570454e-06	9.237963e-09	3.325824	12.0271	40	0.003112602	0.01035197	281	0.001623845	1	0.06033075	3.152551	2.854831	9	37	0.006465517	0.2432432	GO Biological Process	IFNG
MSigDB Pathway	PID_P73PATHWAY	p73 transcription factor network	51	1.785443e-10	2.356785e-07	4.621147e-09	2.556375	23.47073	60	0.006074207	0.01552795	76	0.007141333	1	0.1240337	2.132739	6.095449	13	79	0.00933908	0.164557	MSigDB Pathway	IFNG
MSigDB Pathway	SA_MMP_CYTOKINE_CONNECTION	Cytokines can induce activation of matrix metalloproteinases, which degrade extracellular matrix.	52	1.827025e-10	2.411673e-07	4.637833e-09	5.169328	4.64277	24	0.001201545	0.00621118	140	0.02419739	1	0.2281468	3.45613	1.157364	4	15	0.002873563	0.2666667	MSigDB Pathway	IFNG
GO Biological Process	GO:0044208	'de novo' AMP biosynthetic process	172	1.885193e-10	1.968141e-06	1.144268e-08	13.69209	0.8764187	12	0.0002268164	0.00310559	203	0.0004584285	1	0.02357632	12.96049	0.2314728	3	3	0.002155172	1	GO Biological Process	IFNG
GO Biological Process	GO:0071222	cellular response to lipopolysaccharide	173	1.921182e-10	2.005714e-06	1.159372e-08	2.116349	41.58104	88	0.01076114	0.02277433	115	4.936675e-05	0.5153889	0.004481642	2.644998	7.561443	20	98	0.01436782	0.2040816	GO Biological Process	IFNG
GO Biological Process	GO:0032494	response to peptidoglycan	174	1.938509e-10	2.023803e-06	1.163105e-08	6.331532	3.158793	20	0.000817493	0.005175983	801	0.03646828	1	0.4753169	3.888147	0.7715759	3	10	0.002155172	0.3	GO Biological Process	IFNG
GO Biological Process	GO:0035524	proline transmembrane transport	175	1.981851e-10	2.069052e-06	1.182316e-08	13.63107	0.8803416	12	0.0002278317	0.00310559	2369	0.2140831	1	0.9434477	4.320163	0.2314728	1	3	0.0007183908	0.3333333	GO Biological Process	IFNG
GO Biological Process	GO:0042401	cellular biogenic amine biosynthetic process	176	2.044953e-10	2.134931e-06	1.213029e-08	5.139678	4.669553	24	0.001208476	0.00621118	853	0.04513859	1	0.5524582	2.880109	1.388837	4	18	0.002873563	0.2222222	GO Biological Process	IFNG
GO Biological Process	GO:0002606	positive regulation of dendritic cell antigen processing and presentation	177	2.456394e-10	2.564475e-06	1.448856e-08	13.37198	0.8973987	12	0.000232246	0.00310559	1429	0.09633189	1	0.7037823	3.702997	0.5401031	2	7	0.001436782	0.2857143	GO Biological Process	IFNG
MSigDB Pathway	ST_ERK1_ERK2_MAPK_PATHWAY	ERK1/ERK2 MAPK Pathway	55	2.68416e-10	3.543091e-07	6.441984e-09	3.050331	14.42466	44	0.003733091	0.01138716	158	0.03338156	1	0.2788839	2.430092	2.469043	6	32	0.004310345	0.1875	MSigDB Pathway	IFNG
GO Biological Process	GO:0016045	detection of bacterium	179	2.759444e-10	2.88086e-06	1.609419e-08	8.304674	1.926626	16	0.0004986092	0.004140787	1095	0.07316397	1	0.6975633	2.990882	1.003049	3	13	0.002155172	0.2307692	GO Biological Process	IFNG
GO Biological Process	GO:0032760	positive regulation of tumor necrosis factor production	181	2.968248e-10	3.098851e-06	1.712072e-08	3.246965	12.31919	40	0.003188197	0.01035197	337	0.002988126	1	0.09256984	3.141937	2.5462	8	33	0.005747126	0.2424242	GO Biological Process	IFNG
GO Biological Process	GO:0009309	amine biosynthetic process	182	2.985435e-10	3.116794e-06	1.712524e-08	5.041086	4.760879	24	0.001232111	0.00621118	947	0.05380068	1	0.5931141	2.728524	1.465994	4	19	0.002873563	0.2105263	GO Biological Process	IFNG
GO Biological Process	GO:0034123	positive regulation of toll-like receptor signaling pathway	183	3.010689e-10	3.143159e-06	1.717573e-08	6.169571	3.241716	20	0.0008389535	0.005175983	218	0.0005683628	1	0.02721884	5.184195	1.157364	6	15	0.004310345	0.4	GO Biological Process	IFNG
GO Biological Process	GO:0043903	regulation of symbiosis, encompassing mutualism through parasitism	184	3.066694e-10	3.201629e-06	1.740016e-08	2.184992	36.6134	80	0.009475518	0.02070393	780	0.03274886	1	0.4383309	1.620061	10.49343	17	136	0.01221264	0.125	GO Biological Process	IFNG
GO Biological Process	GO:0045069	regulation of viral genome replication	185	3.281536e-10	3.425924e-06	1.851851e-08	3.030032	14.5213	44	0.0037581	0.01138716	957	0.05382815	1	0.5872162	1.920072	4.16651	8	54	0.005747126	0.1481481	GO Biological Process	IFNG
GO Biological Process	GO:0033028	myeloid cell apoptotic process	186	4.037933e-10	4.215602e-06	2.266453e-08	8.084703	1.979046	16	0.0005121755	0.004140787	375	0.004071071	1	0.1133386	7.776293	0.3857879	3	5	0.002155172	0.6	GO Biological Process	IFNG
MSigDB Pathway	PID_ERBB1_DOWNSTREAM_PATHWAY	ErbB1 downstream signaling	56	4.086596e-10	5.394307e-07	9.632691e-09	2.082946	42.24786	88	0.01093371	0.02277433	115	0.01595042	1	0.1830831	1.834031	8.178704	15	106	0.01077586	0.1415094	MSigDB Pathway	IFNG
MSigDB Pathway	KEGG_LEISHMANIA_INFECTION	Leishmania infection	57	4.867459e-10	6.425046e-07	1.127201e-08	2.583685	21.67447	56	0.005609334	0.01449275	116	0.01602283	1	0.1823288	2.066165	5.323873	11	69	0.007902299	0.1594203	MSigDB Pathway	IFNG
GO Biological Process	GO:0030187	melatonin biosynthetic process	187	5.024439e-10	5.245514e-06	2.805088e-08	12.54082	0.9568749	12	0.0002476384	0.00310559	1797	0.1483658	1	0.8619582	6.480244	0.1543152	1	2	0.0007183908	0.5	GO Biological Process	IFNG
MSigDB Pathway	PID_REG_GR_PATHWAY	Glucocorticoid receptor regulatory network	58	5.603049e-10	7.396025e-07	1.275177e-08	2.261958	31.83083	72	0.008237793	0.01863354	36	0.001380442	1	0.05061621	2.370821	6.326922	15	82	0.01077586	0.1829268	MSigDB Pathway	IFNG
GO Biological Process	GO:0071577	zinc ion transmembrane transport	188	5.765721e-10	6.019413e-06	3.201815e-08	5.936759	3.368842	20	0.0008718534	0.005175983	578	0.01434128	1	0.2590363	3.987843	1.003049	4	13	0.002873563	0.3076923	GO Biological Process	IFNG
GO Biological Process	GO:0030866	cortical actin cytoskeleton organization	190	5.871806e-10	6.130165e-06	3.226403e-08	4.868465	4.929685	24	0.001275799	0.00621118	510	0.009945457	1	0.2035894	3.600136	1.388837	5	18	0.003591954	0.2777778	GO Biological Process	IFNG
GO Biological Process	GO:0033619	membrane protein proteolysis	191	5.892541e-10	6.151813e-06	3.220844e-08	3.749138	8.535296	32	0.002208928	0.008281573	412	0.005532538	1	0.1401934	3.128394	2.23757	7	29	0.005028736	0.2413793	GO Biological Process	IFNG
GO Biological Process	GO:0010043	response to zinc ion	192	5.921273e-10	6.181809e-06	3.219692e-08	3.748373	8.537037	32	0.002209378	0.008281573	1772	0.1408838	1	0.8300377	1.800068	2.777673	5	36	0.003591954	0.1388889	GO Biological Process	IFNG
GO Biological Process	GO:0002888	positive regulation of myeloid leukocyte mediated immunity	193	6.422001e-10	6.704569e-06	3.47387e-08	29.02656	0.2756096	8	7.132754e-05	0.002070393	2369	0.2140831	1	0.9434477	4.320163	0.2314728	1	3	0.0007183908	0.3333333	GO Biological Process	IFNG
MSigDB Pathway	BIOCARTA_CARM1_PATHWAY	Transcription Regulation by Methyltransferase of CARM1	59	6.440443e-10	8.501385e-07	1.440913e-08	4.845231	4.953324	24	0.001281916	0.00621118	15	0.0002229686	0.2943186	0.01962124	5.981764	1.003049	6	13	0.004310345	0.4615385	MSigDB Pathway	IFNG
